year,name,data
2016,DP05_0082E,228849669
2015,DP05_0082E,227019486
2019,DP05_0083E,8303331
2018,DP05_0083E,8304168
2017,DP05_0083E,7932565
2016,DP05_0083E,110858917
2015,DP05_0083E,109941387
2019,DP05_0084E,312842
2018,DP05_0084E,322263
2017,DP05_0084E,321268
2016,DP05_0084E,117990752
2015,DP05_0084E,117078099
2019,DP05_0002E,161588973
2018,DP05_0002E,161118151
2017,DP05_0002E,160402504
2016,DP05_0002E,159061631
2015,DP05_0002E,158167834
2014,DP05_0002E,156890101
2013,DP05_0002E,155627698
2012,DP05_0002E,154436243
2011,DP05_0002E,153267861
2010,DP05_0002E,152089450
2019,DP05_0003E,166650550
2018,DP05_0003E,166049288
2017,DP05_0003E,165316674
2016,DP05_0003E,164065884
2015,DP05_0003E,163250987
2014,DP05_0003E,161966955
2013,DP05_0003E,160501141
2012,DP05_0003E,159477797
2011,DP05_0003E,158324058
2010,DP05_0003E,157260239
2019,DP05_0023E,66395660
2018,DP05_0023E,64481209
2017,DP05_0023E,62536354
2016,DP05_0023E,121383148
2015,DP05_0023E,120542426
2014,DP05_0023E,119274182
2013,DP05_0023E,117977584
2012,DP05_0023E,116741774
2011,DP05_0023E,115448178
2010,DP05_0023E,114105885
2019,DP05_0024E,54074028
2018,DP05_0024E,52423114
2017,DP05_0024E,50815712
2016,DP05_0024E,128106624
2015,DP05_0024E,127246685
2014,DP05_0024E,126005451
2013,DP05_0024E,124564643
2012,DP05_0024E,123461856
2011,DP05_0024E,122233040
2010,DP05_0024E,121078439
2019,DP05_0026E,124267346
2018,DP05_0026E,123578869
2017,DP05_0026E,122729360
2016,DP05_0026E,21760438
2015,DP05_0026E,21054655
2014,DP05_0026E,20312472
2013,DP05_0026E,19574217
2012,DP05_0026E,18805263
2011,DP05_0026E,17916246
2010,DP05_0026E,17433645
2019,DP05_0027E,131004392
2018,DP05_0027E,130236328
2017,DP05_0027E,129341135
2016,DP05_0027E,27454727
2015,DP05_0027E,26677825
2014,DP05_0027E,25902421
2013,DP05_0027E,25089773
2012,DP05_0027E,24335214
2011,DP05_0027E,23468780
2010,DP05_0027E,22999880
2019,DP05_0029E,54074028
2018,DP05_0029E,52423114
2017,DP05_0029E,50815712
2016,DP05_0029E,312701080
2015,DP05_0029E,311437291
2014,DP05_0029E,309251285
2013,DP05_0029E,306759298
2012,DP05_0029E,304840426
2011,DP05_0029E,302870101
2010,DP05_0029E,300951321
2019,DP05_0030E,24044281
2018,DP05_0030E,23290898
2017,DP05_0030E,22520449
2016,DP05_0030E,10426435
2015,DP05_0030E,9981530
2014,DP05_0030E,9605771
2013,DP05_0030E,9369541
2012,DP05_0030E,9073614
2011,DP05_0030E,8721818
2010,DP05_0030E,8398368
2019,DP05_0059E,3276186
2018,DP05_0059E,3179968
2017,DP05_0059E,2965541
2016,DP05_0059E,243538566
2015,DP05_0059E,243479179
2014,DP05_0059E,242169652
2013,DP05_0059E,240924897
2012,DP05_0059E,239645013
2011,DP05_0059E,238197491
2010,DP05_0059E,236475201
2019,DP05_0060E,1845910
2018,DP05_0060E,1886971
2017,DP05_0060E,1908749
2016,DP05_0060E,45133880
2015,DP05_0060E,44655257
2014,DP05_0060E,44171261
2013,DP05_0060E,43624267
2012,DP05_0060E,43140238
2011,DP05_0060E,42533817
2010,DP05_0060E,42042735
2019,DP05_0061E,2502591
2018,DP05_0061E,2454776
2017,DP05_0061E,2230662
2016,DP05_0061E,5586703
2015,DP05_0061E,5431402
2014,DP05_0061E,5396560
2013,DP05_0061E,5252044
2012,DP05_0061E,5226034
2011,DP05_0061E,5120813
2010,DP05_0061E,5066812
2019,DP05_0062E,298099
2018,DP05_0062E,311267
2017,DP05_0062E,316918
2016,DP05_0062E,20901780
2015,DP05_0062E,20416808
2014,DP05_0062E,19658736
2013,DP05_0062E,18913544
2012,DP05_0062E,18326450
2011,DP05_0062E,17673522
